id      , title                   , category   , description                       , features                                                               , price     , duration, color  , icon, detailedDescription                                                                                                                                                                                                  , process                                                                               , cta           , ctaAction
game-dev, ゲーム・VR開発          , DEVELOPMENT, 完全受託開発でアイデアを形に, "Unity3D開発|VR/AR実装|マルチプラットフォーム対応|完全受託開発"        , ¥300000〜 , 2週間〜 , #06b6d4, 🎮  , "最新技術を駆使して、あなたのゲームアイデアを現実に。PC、スマートフォン、VRまで幅広いプラットフォームに対応。プロトタイプから本格的な商用ゲームまで、規模を問わず開発いたします。"                                   , "要件定義|設計・企画書作成|開発・実装|テスト・デバッグ|納品・運用サポート"            , START PROJECT , contact
cluster , Clusterワールド制作     , METAVERSE  , メタバース空間をクリエイト        , "3D空間デザイン|インタラクション設計|イベント最適化|最大1000人規模対応", ¥50000〜  , 1週間〜 , #a855f7, 🌐  , "Clusterプラットフォームで、独自のメタバース空間を制作。イベント会場、展示スペース、コミュニティスペースなど、用途に合わせた空間設計を行います。没入感のある体験を提供します。"                                      , "ヒアリング・企画|3Dモデリング|ワールド構築|動作テスト|公開・運用サポート"            , BUILD WORLD   , contact
support , 30日間チャットサポート  , SUPPORT    , Unity開発の悩みを即解決           , "24時間以内返信|無制限質問OK|コードレビュー|デバッグ支援"              , ¥20000    , 30日間  , #ef4444, 💬  , "Unity開発で詰まったとき、すぐにプロに質問できる環境を提供します。30日間無制限のチャットサポートで、コードレビュー、バグ修正、最適化提案まで幅広く対応。初心者から上級者まで、レベルに合わせたサポートを提供します。", "専用チャットルーム開設|質問受付（無制限）|コードレビュー|解決策の提示|フォローアップ", GET SUPPORT   , contact
lecture , 60分ビデオレクチャー    , EDUCATION  , マンツーマンで直接指導            , "画面共有で実践指導|録画OK|事前質問シート|フォローアップ付き"          , ¥10000    , 60分    , #f59e0b, 📚  , "オンラインでのマンツーマンレクチャー。画面共有しながら、実際のコードを見ながら指導します。Unity基礎から応用まで、あなたのレベルとニーズに合わせたカスタマイズレッスンを提供。録画もOKなので復習も完璧です。"        , "事前ヒアリング|レッスン実施|録画提供|質問対応|アフターフォロー"                      , BOOK LESSON   , contact
